SalesOrderLineKey,ResellerKey,CustomerKey,ProductKey,OrderDateKey,SalesTerritoryKey,Order Quantity,Unit Price,Unit Price Discount Pct,Product Standard Cost,
43663001,510,-1,322,20170707,4,1,419.4589,0,413.1463,
43666001,511,-1,330,20170709,4,1,419.4589,0,413.1463,
43666006,511,-1,334,20170709,4,1,419.4589,0,413.1463,
43678001,203,-1,322,20170718,4,1,419.4589,0,413.1463,
43678003,203,-1,332,20170718,4,1,419.4589,0,413.1463,
43678013,203,-1,342,20170718,4,1,419.4589,0,413.1463,
43680010,491,-1,324,20170718,4,1,419.4589,0,413.1463,
43680015,491,-1,328,20170718,4,1,419.4589,0,413.1463,
43692006,221,-1,338,20170729,4,1,419.4589,0,413.1463,
43692019,221,-1,330,20170729,4,1,419.4589,0,413.1463,
43692021,221,-1,334,20170729,4,1,419.4589,0,413.1463,
43692025,221,-1,328,20170729,4,1,419.4589,0,413.1463,
43859002,259,-1,326,20170807,4,1,419.4589,0,413.1463,
43863003,471,-1,322,20170807,4,1,419.4589,0,413.1463,
43863004,471,-1,326,20170807,4,1,419.4589,0,413.1463,
43865007,328,-1,326,20170808,4,1,419.4589,0,413.1463,
43872001,240,-1,328,20170813,4,1,419.4589,0,413.1463,
43872005,240,-1,332,20170813,4,1,419.4589,0,413.1463,
43872015,240,-1,322,20170813,4,1,419.4589,0,413.1463,
43873016,78,-1,332,20170813,4,1,419.4589,0,413.1463,
43896002,256,-1,342,20170822,4,1,419.4589,0,413.1463,
43904005,255,-1,322,20170825,4,1,419.4589,0,413.1463,
43904011,255,-1,326,20170825,4,1,419.4589,0,413.1463,
43912004,403,-1,322,20170830,4,1,419.4589,0,413.1463,
44088001,624,-1,330,20170906,4,1,419.4589,0,413.1463,
44089003,114,-1,322,20170906,4,1,419.4589,0,413.1463,
44090001,417,-1,324,20170906,4,1,419.4589,0,413.1463,
44092001,273,-1,342,20170907,4,1,419.4589,0,413.1463,
44092002,273,-1,332,20170907,4,1,419.4589,0,413.1463,
44092005,273,-1,322,20170907,4,1,419.4589,0,413.1463,
44093010,93,-1,338,20170907,4,1,419.4589,0,413.1463,
44099006,473,-1,328,20170908,4,1,419.4589,0,413.1463,
44107003,647,-1,334,20170910,4,1,419.4589,0,413.1463,
44107006,647,-1,324,20170910,4,1,419.4589,0,413.1463,
44108001,365,-1,322,20170911,4,1,419.4589,0,413.1463,
44124009,3,-1,338,20170914,4,1,419.4589,0,413.1463,
44124015,3,-1,334,20170914,4,1,419.4589,0,413.1463,
44281001,510,-1,342,20170919,4,1,419.4589,0,413.1463,
44286003,511,-1,330,20170921,4,1,419.4589,0,413.1463,
44286005,511,-1,328,20170921,4,1,419.4589,0,413.1463,
44290002,383,-1,342,20170922,4,1,419.4589,0,413.1463,
44290003,383,-1,322,20170922,4,1,419.4589,0,413.1463,
