SalesOrderLineKey,ResellerKey,CustomerKey,ProductKey,OrderDateKey,SalesTerritoryKey,Order Quantity,Unit Price,Unit Price Discount Pct,Product Standard Cost
48738001,41,-1,333,20190104,4,2,469.794,0,486.7066
48740001,4,-1,339,20190104,4,2,469.794,0,486.7066
48740012,4,-1,325,20190104,4,2,469.794,0,486.7066
48769007,221,-1,335,20190120,4,2,469.794,0,486.7066
48769008,221,-1,323,20190120,4,2,469.794,0,486.7066
48769015,221,-1,339,20190120,4,2,469.794,0,486.7066
48769021,221,-1,327,20190120,4,2,469.794,0,486.7066
48769026,221,-1,329,20190120,4,2,469.794,0,486.7066
48775005,203,-1,323,20190122,4,2,469.794,0,486.7066
48775015,203,-1,341,20190122,4,2,469.794,0,486.7066
48775019,203,-1,333,20190122,4,2,469.794,0,486.7066
48780015,166,-1,339,20190125,4,2,469.794,0,486.7066
49058020,78,-1,323,20190204,4,2,469.794,0,486.7066
49058026,78,-1,343,20190204,4,2,469.794,0,486.7066
49074013,529,-1,335,20190208,4,2,469.794,0,486.7066
49076017,167,-1,335,20190208,4,2,469.794,0,486.7066
49076023,167,-1,341,20190208,4,2,469.794,0,486.7066
49086014,258,-1,323,20190210,4,2,469.794,0,486.7066
49086017,258,-1,327,20190210,4,2,469.794,0,486.7066
49086018,258,-1,341,20190210,4,2,469.794,0,486.7066
49086023,258,-1,331,20190210,4,2,469.794,0,486.7066
49099018,328,-1,341,20190212,4,2,469.794,0,486.7066
49104010,97,-1,333,20190215,4,2,469.794,0,486.7066
49104014,97,-1,341,20190215,4,2,469.794,0,486.7066
49104016,97,-1,337,20190215,4,2,469.794,0,486.7066
49109001,259,-1,325,20190215,4,2,469.794,0,486.7066
49109003,259,-1,323,20190215,4,2,469.794,0,486.7066
49111005,77,-1,323,20190216,4,2,469.794,0,486.7066
49127002,436,-1,333,20190220,4,2,469.794,0,486.7066
49127003,436,-1,327,20190220,4,2,469.794,0,486.7066
49137001,313,-1,323,20190223,4,2,469.794,0,486.7066
49139014,257,-1,329,20190224,4,2,469.794,0,486.7066
49139015,257,-1,331,20190224,4,2,469.794,0,486.7066
49141001,528,-1,329,20190224,4,2,469.794,0,486.7066
49160032,403,-1,327,20190227,4,2,469.794,0,486.7066
49445003,277,-1,323,20190301,4,2,469.794,0,486.7066
49486001,649,-1,325,20190312,4,2,469.794,0,486.7066
49490005,24,-1,335,20190313,4,2,469.794,0,486.7066
49490007,24,-1,343,20190313,4,2,469.794,0,486.7066
49523011,130,-1,333,20190323,4,2,469.794,0,486.7066
49523022,130,-1,327,20190323,4,2,469.794,0,486.7066
49523023,130,-1,335,20190323,4,2,469.794,0,486.7066
49525002,674,-1,327,20190323,4,2,469.794,0,486.7066
49526002,165,-1,329,20190324,4,2,469.794,0,486.7066
49526003,165,-1,325,20190324,4,2,469.794,0,486.7066
49534005,5,-1,325,20190328,4,2,469.794,0,486.7066
49538008,3,-1,329,20190329,4,2,469.794,0,486.7066
49538019,3,-1,333,20190329,4,2,469.794,0,486.7066
49538020,3,-1,343,20190329,4,2,469.794,0,486.7066
49538026,3,-1,325,20190329,4,2,469.794,0,486.7066
49821004,4,-1,341,20190401,4,2,469.794,0,486.7066
49838001,41,-1,343,20190407,4,2,469.794,0,486.7066
49841001,203,-1,331,20190408,4,2,469.794,0,486.7066
49841005,203,-1,321,20190408,4,2,469.794,0,486.7066
49841036,203,-1,339,20190408,4,2,469.794,0,486.7066
49884010,166,-1,331,20190426,4,2,469.794,0,486.7066
49887003,292,-1,327,20190427,4,2,469.794,0,486.7066
49887004,292,-1,325,20190427,4,2,469.794,0,486.7066
49887006,292,-1,329,20190427,4,2,469.794,0,486.7066
49890006,221,-1,343,20190429,4,2,469.794,0,486.7066
49890024,221,-1,325,20190429,4,2,469.794,0,486.7066
50205005,259,-1,343,20190503,4,2,469.794,0,486.7066
50208031,328,-1,323,20190504,4,2,469.794,0,486.7066
50214013,258,-1,337,20190504,4,2,469.794,0,486.7066
50214020,258,-1,329,20190504,4,2,469.794,0,486.7066
50226029,78,-1,327,20190508,4,2,469.794,0,486.7066
50226046,78,-1,333,20190508,4,2,469.794,0,486.7066
50252036,167,-1,337,20190512,4,2,469.794,0,486.7066
50252040,167,-1,343,20190512,4,2,469.794,0,486.7066
50266005,77,-1,343,20190515,4,2,469.794,0,486.7066
50272012,97,-1,339,20190517,4,2,469.794,0,486.7066
50272016,97,-1,325,20190517,4,2,469.794,0,486.7066
50272029,97,-1,343,20190517,4,2,469.794,0,486.7066
50272032,97,-1,323,20190517,4,2,469.794,0,486.7066
50289003,436,-1,335,20190522,4,2,469.794,0,486.7066
50289015,436,-1,329,20190522,4,2,469.794,0,486.7066
50296001,313,-1,343,20190525,4,2,469.794,0,486.7066
50296003,313,-1,325,20190525,4,2,469.794,0,486.7066
50298013,257,-1,343,20190525,4,2,469.794,0,486.7066
50298022,257,-1,331,20190525,4,2,469.794,0,486.7066
50313042,403,-1,343,20190529,4,2,469.794,0,486.7066
50313048,403,-1,323,20190529,4,2,469.794,0,486.7066
50672022,239,-1,331,20190604,4,2,469.794,0,486.7066
50736003,647,-1,325,20190624,4,2,469.794,0,486.7066
50738012,130,-1,329,20190624,4,2,469.794,0,486.7066
50738038,130,-1,333,20190624,4,2,469.794,0,486.7066
